DECILGEN,KOMMUNEDK,PRISENHED,TID,INDHOLD
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1997,85763
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1998,86211
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),1999,85900
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2000,85644
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2001,83898
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2002,82769
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2003,80533
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2004,86748
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2005,80651
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2006,83140
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2007,73141
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2008,40110
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2009,59039
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2010,62827
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2011,61489
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2012,65016
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2013,68182
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2014,51423
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2015,73176
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2016,71283
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2017,70303
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2018,78731
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2019,79038
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2020,93569
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2021,100661
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2022,76133
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2023,90011
1. decil,Frederiksberg,Faste priser (seneste dataårs prisniveau),2024,94880
1. decil,Frederiksberg,Nominelle priser,1987,29652
1. decil,Frederiksberg,Nominelle priser,1988,31824
1. decil,Frederiksberg,Nominelle priser,1989,32695
1. decil,Frederiksberg,Nominelle priser,1990,33279
1. decil,Frederiksberg,Nominelle priser,1991,34372
1. decil,Frederiksberg,Nominelle priser,1992,33269
1. decil,Frederiksberg,Nominelle priser,1993,38614
1. decil,Frederiksberg,Nominelle priser,1994,43307
1. decil,Frederiksberg,Nominelle priser,1995,46121
1. decil,Frederiksberg,Nominelle priser,1996,49541
1. decil,Frederiksberg,Nominelle priser,1997,51219
1. decil,Frederiksberg,Nominelle priser,1998,52434
1. decil,Frederiksberg,Nominelle priser,1999,53546
1. decil,Frederiksberg,Nominelle priser,2000,54945
1. decil,Frederiksberg,Nominelle priser,2001,55095
1. decil,Frederiksberg,Nominelle priser,2002,55668
1. decil,Frederiksberg,Nominelle priser,2003,55295
1. decil,Frederiksberg,Nominelle priser,2004,60251
1. decil,Frederiksberg,Nominelle priser,2005,57031
1. decil,Frederiksberg,Nominelle priser,2006,59908
1. decil,Frederiksberg,Nominelle priser,2007,53605
1. decil,Frederiksberg,Nominelle priser,2008,30396
1. decil,Frederiksberg,Nominelle priser,2009,45332
1. decil,Frederiksberg,Nominelle priser,2010,49353
1. decil,Frederiksberg,Nominelle priser,2011,49631
1. decil,Frederiksberg,Nominelle priser,2012,53741
1. decil,Frederiksberg,Nominelle priser,2013,56799
1. decil,Frederiksberg,Nominelle priser,2014,43083
1. decil,Frederiksberg,Nominelle priser,2015,61585
1. decil,Frederiksberg,Nominelle priser,2016,60148
1. decil,Frederiksberg,Nominelle priser,2017,60000
1. decil,Frederiksberg,Nominelle priser,2018,67741
1. decil,Frederiksberg,Nominelle priser,2019,68516
1. decil,Frederiksberg,Nominelle priser,2020,81456
1. decil,Frederiksberg,Nominelle priser,2021,89252
1. decil,Frederiksberg,Nominelle priser,2022,72702
1. decil,Frederiksberg,Nominelle priser,2023,88791
1. decil,Frederiksberg,Nominelle priser,2024,94880
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1987,98375
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1988,90379
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1989,97768
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1990,94005
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1991,93631
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1992,69831
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1993,80970
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1994,84515
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1995,101922
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1996,113366
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1997,116723
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1998,107651
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),1999,117245
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2000,110514
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2001,112023
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2002,111945
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2003,129403
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2004,136011
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2005,115596
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2006,123113
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2007,93902
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2008,46457
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2009,66631
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2010,91906
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2011,93772
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2012,126589
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2013,114555
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2014,117339
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2015,130073
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2016,125846
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2017,134802
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2018,135086
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2019,126834
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2020,128754
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2021,140266
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2022,132227
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2023,137368
1. decil,Dragør,Faste priser (seneste dataårs prisniveau),2024,148244
1. decil,Dragør,Nominelle priser,1987,45439
1. decil,Dragør,Nominelle priser,1988,43633
1. decil,Dragør,Nominelle priser,1989,49457
1. decil,Dragør,Nominelle priser,1990,48805
1. decil,Dragør,Nominelle priser,1991,49777
1. decil,Dragør,Nominelle priser,1992,37909
1. decil,Dragør,Nominelle priser,1993,44500
1. decil,Dragør,Nominelle priser,1994,47377
1. decil,Dragør,Nominelle priser,1995,58330
1. decil,Dragør,Nominelle priser,1996,66250
1. decil,Dragør,Nominelle priser,1997,69709
1. decil,Dragør,Nominelle priser,1998,65474
1. decil,Dragør,Nominelle priser,1999,73085
1. decil,Dragør,Nominelle priser,2000,70900
1. decil,Dragør,Nominelle priser,2001,73565
1. decil,Dragør,Nominelle priser,2002,75291
1. decil,Dragør,Nominelle priser,2003,88850
1. decil,Dragør,Nominelle priser,2004,94467
1. decil,Dragør,Nominelle priser,2005,81742
1. decil,Dragør,Nominelle priser,2006,88711
1. decil,Dragør,Nominelle priser,2007,68821
1. decil,Dragør,Nominelle priser,2008,35206
1. decil,Dragør,Nominelle priser,2009,51161
1. decil,Dragør,Nominelle priser,2010,72196
1. decil,Dragør,Nominelle priser,2011,75689
1. decil,Dragør,Nominelle priser,2012,104635
1. decil,Dragør,Nominelle priser,2013,95430
1. decil,Dragør,Nominelle priser,2014,98308
1. decil,Dragør,Nominelle priser,2015,109469
1. decil,Dragør,Nominelle priser,2016,106188
1. decil,Dragør,Nominelle priser,2017,115046
1. decil,Dragør,Nominelle priser,2018,116229
1. decil,Dragør,Nominelle priser,2019,109950
1. decil,Dragør,Nominelle priser,2020,112086
1. decil,Dragør,Nominelle priser,2021,124369
1. decil,Dragør,Nominelle priser,2022,126268
1. decil,Dragør,Nominelle priser,2023,135506
1. decil,Dragør,Nominelle priser,2024,148244
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1987,101118
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1988,101479
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1989,102006
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1990,103170
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1991,99985
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1992,103425
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1993,102434
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1994,111912
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1995,114697
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1996,115400
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1997,115375
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1998,117800
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),1999,118875
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2000,118100
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2001,116327
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2002,121831
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2003,122283
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2004,124690
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2005,120642
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2006,122776
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2007,115427
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2008,100602
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2009,110983
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2010,108771
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2011,108468
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2012,111384
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2013,114178
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2014,116338
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2015,116640
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2016,113916
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2017,113565
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2018,117996
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2019,120078
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2020,125044
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2021,132160
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2022,124993
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2023,123883
1. decil,Tårnby,Faste priser (seneste dataårs prisniveau),2024,122388
1. decil,Tårnby,Nominelle priser,1987,46706
1. decil,Tårnby,Nominelle priser,1988,48992
1. decil,Tårnby,Nominelle priser,1989,51601
1. decil,Tårnby,Nominelle priser,1990,53563
1. decil,Tårnby,Nominelle priser,1991,53155
1. decil,Tårnby,Nominelle priser,1992,56146
1. decil,Tårnby,Nominelle priser,1993,56296
1. decil,Tårnby,Nominelle priser,1994,62735
1. decil,Tårnby,Nominelle priser,1995,65641
1. decil,Tårnby,Nominelle priser,1996,67439
1. decil,Tårnby,Nominelle priser,1997,68904
1. decil,Tårnby,Nominelle priser,1998,71647
1. decil,Tårnby,Nominelle priser,1999,74101
1. decil,Tårnby,Nominelle priser,2000,75767
1. decil,Tårnby,Nominelle priser,2001,76391
1. decil,Tårnby,Nominelle priser,2002,81940
1. decil,Tårnby,Nominelle priser,2003,83961
1. decil,Tårnby,Nominelle priser,2004,86604
1. decil,Tårnby,Nominelle priser,2005,85310
1. decil,Tårnby,Nominelle priser,2006,88468
1. decil,Tårnby,Nominelle priser,2007,84597
1. decil,Tårnby,Nominelle priser,2008,76238
1. decil,Tårnby,Nominelle priser,2009,85216
1. decil,Tårnby,Nominelle priser,2010,85444
1. decil,Tårnby,Nominelle priser,2011,87551
1. decil,Tårnby,Nominelle priser,2012,92067
1. decil,Tårnby,Nominelle priser,2013,95116
1. decil,Tårnby,Nominelle priser,2014,97469
1. decil,Tårnby,Nominelle priser,2015,98164
1. decil,Tårnby,Nominelle priser,2016,96122
1. decil,Tårnby,Nominelle priser,2017,96921
1. decil,Tårnby,Nominelle priser,2018,101524
1. decil,Tårnby,Nominelle priser,2019,104093
1. decil,Tårnby,Nominelle priser,2020,108856
1. decil,Tårnby,Nominelle priser,2021,117181
1. decil,Tårnby,Nominelle priser,2022,119360
1. decil,Tårnby,Nominelle priser,2023,122204
1. decil,Tårnby,Nominelle priser,2024,122388
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1987,92709
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1988,87079
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1989,71974
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1990,84105
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1991,84568
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1992,84459
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1993,87280
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1994,92687
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1995,96986
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1996,94960
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1997,93208
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1998,95438
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),1999,95744
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2000,95389
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2001,96715
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2002,99654
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2003,93866
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2004,100254
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2005,99684
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2006,97990
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2007,97680
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2008,92116
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2009,85447
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2010,89615
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2011,85059
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2012,86563
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2013,82084
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2014,86645
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2015,90884
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2016,90459
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2017,89666
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2018,93455
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2019,92253
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2020,96524
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2021,103350
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2022,97317
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2023,99706
1. decil,Albertslund,Faste priser (seneste dataårs prisniveau),2024,99784
1. decil,Albertslund,Nominelle priser,1987,42822
1. decil,Albertslund,Nominelle priser,1988,42040
1. decil,Albertslund,Nominelle priser,1989,36409
1. decil,Albertslund,Nominelle priser,1990,43665
1. decil,Albertslund,Nominelle priser,1991,44959
1. decil,Albertslund,Nominelle priser,1992,45850
1. decil,Albertslund,Nominelle priser,1993,47968
1. decil,Albertslund,Nominelle priser,1994,51958
1. decil,Albertslund,Nominelle priser,1995,55505
1. decil,Albertslund,Nominelle priser,1996,55494
1. decil,Albertslund,Nominelle priser,1997,55665
1. decil,Albertslund,Nominelle priser,1998,58046
1. decil,Albertslund,Nominelle priser,1999,59682
1. decil,Albertslund,Nominelle priser,2000,61197
1. decil,Albertslund,Nominelle priser,2001,63512
1. decil,Albertslund,Nominelle priser,2002,67024
1. decil,Albertslund,Nominelle priser,2003,64450
1. decil,Albertslund,Nominelle priser,2004,69632
1. decil,Albertslund,Nominelle priser,2005,70490
1. decil,Albertslund,Nominelle priser,2006,70608
1. decil,Albertslund,Nominelle priser,2007,71590
1. decil,Albertslund,Nominelle priser,2008,69807
1. decil,Albertslund,Nominelle priser,2009,65609
1. decil,Albertslund,Nominelle priser,2010,70396
1. decil,Albertslund,Nominelle priser,2011,68656
1. decil,Albertslund,Nominelle priser,2012,71551
1. decil,Albertslund,Nominelle priser,2013,68380
1. decil,Albertslund,Nominelle priser,2014,72592
1. decil,Albertslund,Nominelle priser,2015,76488
1. decil,Albertslund,Nominelle priser,2016,76329
1. decil,Albertslund,Nominelle priser,2017,76525
1. decil,Albertslund,Nominelle priser,2018,80409
1. decil,Albertslund,Nominelle priser,2019,79972
1. decil,Albertslund,Nominelle priser,2020,84028
1. decil,Albertslund,Nominelle priser,2021,91637
1. decil,Albertslund,Nominelle priser,2022,92931
1. decil,Albertslund,Nominelle priser,2023,98354
1. decil,Albertslund,Nominelle priser,2024,99784
1. decil,Ballerup,Faste priser (seneste dataårs prisniveau),1987,105628
1. decil,Ballerup,Faste priser (seneste dataårs prisniveau),1988,97519
1. decil,Ballerup,Faste priser (seneste dataårs prisniveau),1989,101804
1. decil,Ballerup,Faste priser (seneste dataårs prisniveau),1990,101536
1. decil,Ballerup,Faste priser (seneste dataårs prisniveau),1991,100880
1. decil,Ballerup,Faste priser (seneste dataårs prisniveau),1992,101465
