Municipality,Year,Average Income,Employed_Ratio,Unemployed_Ratio,Enrolled_Ratio,Outside_Ratio
Frederiksberg,2008,289940.7,0.5681428759720575,0.018913931725319626,0.16780347963621986,0.24513971266640305
Frederiksberg,2009,294697.3,0.5505302507660961,0.03287394310834443,0.1726804537213817,0.24391535240417783
Frederiksberg,2010,318669.4,0.5380508806262231,0.03821526418786693,0.18141682974559686,0.2423170254403131
Frederiksberg,2011,317671.5,0.5357082351491629,0.036070168953780284,0.18766652805372022,0.24055506784333658
Frederiksberg,2012,319518.4,0.5288553512594325,0.03927850234577836,0.19212607989311145,0.23974006650167773
Frederiksberg,2013,328061.3,0.5310687530207829,0.03701969550507492,0.19713629772837118,0.2347752537457709
Frederiksberg,2014,336489.9,0.5401317283670225,0.03341660988719812,0.19753198576727987,0.22891967597849952
Frederiksberg,2015,345971.0,0.5459271313624446,0.03129614561673146,0.19389446403278787,0.22888225898803605
Frederiksberg,2016,353643.6,0.5572228104674029,0.029632430797156255,0.18369384359400998,0.22945091514143096
Frederiksberg,2017,362596.7,0.5656195622309735,0.030878896113807737,0.1811215923314101,0.22237994932380864
Frederiksberg,2018,372249.9,0.5773084630800062,0.02905811623246493,0.18194851240943424,0.21168490827809466
Frederiksberg,2019,383190.5,0.5826505800176561,0.02759923800083634,0.1795809004599873,0.21016928152152028
Frederiksberg,2020,402694.9,0.5790342165073632,0.03722095955664871,0.1906659609576886,0.19307886297829946
Frederiksberg,2021,420807.2,0.5958612198509913,0.023740371258997348,0.1925116807677737,0.18788672812223767
Frederiksberg,2022,384198.3,0.6046569543020794,0.021697173452870127,0.18733657078819574,0.18630930145685468
Frederiksberg,2023,390387.4,0.6105084484221897,0.023223516703958027,0.18492400277756346,0.18134403209628885
Frederiksberg,2024,404647.2,0.6114155251141552,0.02482496194824962,0.1856925418569254,0.1780669710806697
Frederikshavn,2008,252758.7,0.5710191417753471,0.020719394194362643,0.11053849389987379,0.2977229701304165
Frederikshavn,2009,258510.5,0.5390167009718351,0.04515254943852427,0.11260780073473854,0.30322294885490214
Frederikshavn,2010,273064.8,0.5312129436875807,0.04166117684260455,0.11568157263696013,0.3114443068328546
Frederikshavn,2011,273004.1,0.5299070617205497,0.0381814811872799,0.11886038075568618,0.3130510763364842
Frederikshavn,2012,278055.4,0.528150778184148,0.03553218185215836,0.12077204410155103,0.31554499586214263
Frederikshavn,2013,279732.9,0.5279066648786376,0.03143355236690358,0.1212551964597023,0.3194045862947566
Frederikshavn,2014,280163.2,0.5300271739130434,0.03135869565217391,0.12160326086956522,0.3170108695652174
Frederikshavn,2015,284552.4,0.5317344494313958,0.030041027617919984,0.11672219621664785,0.3215023267340364
Frederikshavn,2016,288102.1,0.5391391335760135,0.029816322560924778,0.11418012059910523,0.3168644232639564
Frederikshavn,2017,292841.5,0.548990297833935,0.03409860108303249,0.11230821299638989,0.3046028880866426
Frederikshavn,2018,294641.1,0.5620735919614056,0.029887813650766464,0.10956010390796724,0.2984784904798607
Frederikshavn,2019,302944.1,0.5699260286638927,0.027941516412390198,0.10754738788719372,0.2945850670365234
Frederikshavn,2020,313404.4,0.559281296714248,0.03646276050063019,0.11334525309962776,0.29091068968549405
Frederikshavn,2021,320058.7,0.5824146355997855,0.024432393778678268,0.10744294142184614,0.28571002919969013
Frederikshavn,2022,301832.1,0.5809492556904627,0.026938337161779183,0.10479997613436354,0.2873124310133946
Frederikshavn,2023,301154.8,0.5807007988380537,0.029472282740256598,0.10463568143306705,0.2851912369886226
